Username,Length,Has_Numbers,Has_Underscore,Is_Alphanumeric,Has_Bot_Suffix,Length_Without_At
@man_woomen_xxx,15,False,True,False,False,14
@manniak,8,False,False,True,False,7
@marketingcalendar,18,False,False,True,False,17
@mayi_ru,8,False,True,False,False,7
@me_me_mentomori,16,False,True,False,False,15
@medicalalerts,14,False,False,True,False,13
@metawaifu,10,False,False,True,False,9
@miilo,6,False,False,True,False,5
@mirz0ev,8,True,False,True,False,7
@mitkuschelzentrale,19,False,False,True,False,18
@mnokx,6,False,False,True,False,5
@moscowmockba,13,False,False,True,False,12
@mw_tg,6,False,True,False,False,5
@mylaunchpool,13,False,False,True,False,12
@nakheel_tg,11,False,True,False,False,10
@nanotons,9,False,False,True,False,8
@naspers_tg,11,False,True,False,False,10
@natianal,9,False,False,True,False,8
@navigabiy,10,False,False,True,False,9
@navoiy_toshkent_taksi_taxi_uz,30,False,True,False,False,29
@nbokov,7,False,False,True,False,6
@nebulahaven,12,False,False,True,False,11
@newpoll,8,False,False,True,False,7
@nftgithub,10,False,False,True,False,9
@nftonchain,11,False,False,True,False,10
@nhockeyl,9,False,False,True,False,8
@nonvedente,11,False,False,True,False,10
@novatek_tg,11,False,True,False,False,10
@nozhki_foots,13,False,True,False,False,12
@ommbb,6,False,False,True,False,5
@onestopcryptoinvestment,24,False,False,True,False,23
@opportunitybank,16,False,False,True,False,15
@ozodbek_nazarbekov_mp3lar_qoshiq,33,True,True,False,False,32
@p0kerking,10,True,False,True,False,9
@pappagu,8,False,False,True,False,7
@paxful_tg,10,False,True,False,False,9
@paykix,7,False,False,True,False,6
@payprogram,11,False,False,True,False,10
@pdftojpg,9,False,False,True,False,8
@plzjesus,9,False,False,True,False,8
@pohuybet,9,False,False,True,False,8
@pokeballers,12,False,False,True,False,11
@popeconomy,11,False,False,True,False,10
@potclock,9,False,False,True,False,8
@premium_b0t,12,True,True,False,False,11
@priceschool,12,False,False,True,False,11
@proximad,9,False,False,True,False,8
@ptopton,8,False,False,True,False,7
@pump_coine,11,False,True,False,False,10
@punk_vitalik,13,False,True,False,False,12
@qe_tg,6,False,True,False,False,5
@qieruo,7,False,False,True,False,6
@rakh1movv1,11,True,False,True,False,10
@rayyansiddique,15,False,False,True,False,14
@receivership,13,False,False,True,False,12
@redrosecake_tubageckil,23,False,True,False,False,22
@rgkarmch,9,False,False,True,False,8
